RBP	miRNA	sum_RBP_per_total	sum_miRNA_per_total	average
AIMP2	hsa-mir-7-2	10	2.7027027027027	6.35135135135135
AIMP2	hsa-mir-7-3	0	0	0
AIMP2	hsa-mir-9-1	0	0	0
AIMP2	hsa-mir-9-2	0	0	0
AIMP2	hsa-mir-9-3	0	0	0
AIMP2	hsa-mir-92a-1	0	0	0
AIMP2	hsa-mir-92a-2	0	0	0
AIMP2	hsa-mir-93	0	0	0
AIMP2	hsa-mir-98	0	0	0
APOBEC3B	hsa-let-7a-1	0	0	0
APOBEC3B	hsa-let-7a-2	21.4285714285714	1.02389078498294	11.2262311067772
APOBEC3B	hsa-let-7a-3	0	0	0
APOBEC3B	hsa-let-7b	0	0	0
APOBEC3B	hsa-let-7c	0	0	0
APOBEC3B	hsa-let-7d	42.8571428571429	1.1214953271028	21.9893190921228
APOBEC3B	hsa-let-7e	0	0	0
APOBEC3B	hsa-let-7f-1	0	0	0
APOBEC3B	hsa-let-7f-2	0	0	0
APOBEC3B	hsa-let-7g	0	0	0
APOBEC3B	hsa-let-7i	0	0	0
APOBEC3B	hsa-mir-1-1	0	0	0
APOBEC3B	hsa-mir-1-2	0	0	0
APOBEC3B	hsa-mir-106a	0	0	0
APOBEC3B	hsa-mir-106b	0	0	0
APOBEC3B	hsa-mir-107	0	0	0
APOBEC3B	hsa-mir-10b	0	0	0
APOBEC3B	hsa-mir-122	0	0	0
APOBEC3B	hsa-mir-128-1	0	0	0
APOBEC3B	hsa-mir-128-2	0	0	0
APOBEC3B	hsa-mir-138-1	0	0	0
APOBEC3B	hsa-mir-138-2	0	0	0
APOBEC3B	hsa-mir-140	0	0	0
APOBEC3B	hsa-mir-141	0	0	0
APOBEC3B	hsa-mir-143	0	0	0
APOBEC3B	hsa-mir-145	0	0	0
APOBEC3B	hsa-mir-155	0	0	0
APOBEC3B	hsa-mir-15a	0	0	0
APOBEC3B	hsa-mir-15b	0	0	0
APOBEC3B	hsa-mir-16-1	0	0	0
APOBEC3B	hsa-mir-16-2	0	0	0
APOBEC3B	hsa-mir-17	0	0	0
APOBEC3B	hsa-mir-18a	0	0	0
APOBEC3B	hsa-mir-18b	14.2857142857143	0.588235294117647	7.43697478991597
APOBEC3B	hsa-mir-199a-1	0	0	0
APOBEC3B	hsa-mir-199a-2	0	0	0
APOBEC3B	hsa-mir-19a	21.4285714285714	0.79155672823219	11.1100640784018
APOBEC3B	hsa-mir-19b-1	0	0	0
APOBEC3B	hsa-mir-19b-2	0	0	0
APOBEC3B	hsa-mir-200a	0	0	0
APOBEC3B	hsa-mir-200b	0	0	0
APOBEC3B	hsa-mir-200c	0	0	0
APOBEC3B	hsa-mir-205	0	0	0
APOBEC3B	hsa-mir-206	0	0	0
APOBEC3B	hsa-mir-20a	0	0	0
APOBEC3B	hsa-mir-20b	0	0	0
APOBEC3B	hsa-mir-21	0	0	0
APOBEC3B	hsa-mir-214	0	0	0
APOBEC3B	hsa-mir-221	0	0	0
APOBEC3B	hsa-mir-222	0	0	0
APOBEC3B	hsa-mir-25	0	0	0
APOBEC3B	hsa-mir-29a	0	0	0
APOBEC3B	hsa-mir-29b-1	0	0	0
APOBEC3B	hsa-mir-29b-2	0	0	0
APOBEC3B	hsa-mir-29c	0	0	0
APOBEC3B	hsa-mir-31	0	0	0
APOBEC3B	hsa-mir-34a	0	0	0
APOBEC3B	hsa-mir-34b	0	0	0
APOBEC3B	hsa-mir-34c	0	0	0
APOBEC3B	hsa-mir-363	0	0	0
APOBEC3B	hsa-mir-429	0	0	0
APOBEC3B	hsa-mir-451	0	0	0
APOBEC3B	hsa-mir-7-1	0	0	0
APOBEC3B	hsa-mir-7-2	0	0	0
APOBEC3B	hsa-mir-7-3	0	0	0
APOBEC3B	hsa-mir-9-1	0	0	0
APOBEC3B	hsa-mir-9-2	0	0	0
APOBEC3B	hsa-mir-9-3	0	0	0
APOBEC3B	hsa-mir-92a-1	0	0	0
APOBEC3B	hsa-mir-92a-2	0	0	0
APOBEC3B	hsa-mir-93	0	0	0
APOBEC3B	hsa-mir-98	0	0	0
AQR	hsa-let-7a-1	0	0	0
AQR	hsa-let-7a-2	0	0	0
AQR	hsa-let-7a-3	33.3333333333333	0.617283950617284	16.9753086419753
AQR	hsa-let-7b	0	0	0
AQR	hsa-let-7c	0	0	0
AQR	hsa-let-7d	33.3333333333333	0.373831775700935	16.8535825545171
AQR	hsa-let-7e	0	0	0
AQR	hsa-let-7f-1	0	0	0
AQR	hsa-let-7f-2	0	0	0
AQR	hsa-let-7g	0	0	0
AQR	hsa-let-7i	0	0	0
AQR	hsa-mir-1-1	0	0	0
AQR	hsa-mir-1-2	0	0	0
AQR	hsa-mir-106a	0	0	0
AQR	hsa-mir-106b	0	0	0
AQR	hsa-mir-107	0	0	0
AQR	hsa-mir-10b	0	0	0
AQR	hsa-mir-122	0	0	0
AQR	hsa-mir-128-1	0	0	0
AQR	hsa-mir-128-2	0	0	0
AQR	hsa-mir-138-1	0	0	0
AQR	hsa-mir-138-2	0	0	0
AQR	hsa-mir-140	0	0	0
AQR	hsa-mir-141	0	0	0
AQR	hsa-mir-143	0	0	0
