RBP	miRNA	sum_RBP_per_total	sum_miRNA_per_total	average
AIMP1	hsa-mir-19a	0	0	0
AIMP1	hsa-mir-19b-1	0	0	0
AIMP1	hsa-mir-19b-2	20	3.7593984962406	11.8796992481203
AIMP1	hsa-mir-200a	0	0	0
AIMP1	hsa-mir-200b	0	0	0
AIMP1	hsa-mir-200c	0	0	0
AIMP1	hsa-mir-205	12	1.66204986149584	6.83102493074792
AIMP1	hsa-mir-206	0	0	0
AIMP1	hsa-mir-20a	0	0	0
AIMP1	hsa-mir-20b	6	1.06382978723404	3.53191489361702
AIMP1	hsa-mir-21	0	0	0
AIMP1	hsa-mir-214	0	0	0
AIMP1	hsa-mir-221	0	0	0
AIMP1	hsa-mir-222	0	0	0
AIMP1	hsa-mir-25	0	0	0
AIMP1	hsa-mir-29a	0	0	0
AIMP1	hsa-mir-29b-1	0	0	0
AIMP1	hsa-mir-29b-2	0	0	0
AIMP1	hsa-mir-29c	4	0.840336134453782	2.42016806722689
AIMP1	hsa-mir-31	0	0	0
AIMP1	hsa-mir-34a	0	0	0
AIMP1	hsa-mir-34b	4	0.512820512820513	2.25641025641026
AIMP1	hsa-mir-34c	0	0	0
AIMP1	hsa-mir-363	0	0	0
AIMP1	hsa-mir-429	0	0	0
AIMP1	hsa-mir-451	0	0	0
AIMP1	hsa-mir-7-1	16	1.99501246882793	8.99750623441397
AIMP1	hsa-mir-7-2	0	0	0
AIMP1	hsa-mir-7-3	0	0	0
AIMP1	hsa-mir-9-1	0	0	0
AIMP1	hsa-mir-9-2	0	0	0
AIMP1	hsa-mir-9-3	0	0	0
AIMP1	hsa-mir-92a-1	0	0	0
AIMP1	hsa-mir-92a-2	0	0	0
AIMP1	hsa-mir-93	0	0	0
AIMP1	hsa-mir-98	0	0	0
AIMP2	hsa-let-7a-1	0	0	0
AIMP2	hsa-let-7a-2	0	0	0
AIMP2	hsa-let-7a-3	7.69230769230769	0.634920634920635	4.16361416361416
AIMP2	hsa-let-7b	0	0	0
AIMP2	hsa-let-7c	0	0	0
AIMP2	hsa-let-7d	0	0	0
AIMP2	hsa-let-7e	0	0	0
AIMP2	hsa-let-7f-1	0	0	0
AIMP2	hsa-let-7f-2	0	0	0
AIMP2	hsa-let-7g	0	0	0
AIMP2	hsa-let-7i	26.9230769230769	1.33587786259542	14.1294773928362
AIMP2	hsa-mir-1-1	0	0	0
AIMP2	hsa-mir-1-2	0	0	0
AIMP2	hsa-mir-106a	0	0	0
AIMP2	hsa-mir-106b	0	0	0
AIMP2	hsa-mir-107	7.69230769230769	0.673400673400673	4.18285418285418
AIMP2	hsa-mir-10b	0	0	0
AIMP2	hsa-mir-122	0	0	0
AIMP2	hsa-mir-128-1	0	0	0
AIMP2	hsa-mir-128-2	0	0	0
AIMP2	hsa-mir-138-1	0	0	0
AIMP2	hsa-mir-138-2	0	0	0
AIMP2	hsa-mir-140	0	0	0
AIMP2	hsa-mir-141	0	0	0
AIMP2	hsa-mir-143	0	0	0
AIMP2	hsa-mir-145	0	0	0
AIMP2	hsa-mir-155	0	0	0
AIMP2	hsa-mir-15a	7.69230769230769	2.08333333333333	4.88782051282051
AIMP2	hsa-mir-15b	0	0	0
AIMP2	hsa-mir-16-1	0	0	0
AIMP2	hsa-mir-16-2	0	0	0
AIMP2	hsa-mir-17	0	0	0
AIMP2	hsa-mir-18a	0	0	0
AIMP2	hsa-mir-18b	0	0	0
AIMP2	hsa-mir-199a-1	0	0	0
AIMP2	hsa-mir-199a-2	0	0	0
AIMP2	hsa-mir-19a	0	0	0
AIMP2	hsa-mir-19b-1	0	0	0
AIMP2	hsa-mir-19b-2	15.3846153846154	1.50375939849624	8.44418739155581
AIMP2	hsa-mir-200a	0	0	0
AIMP2	hsa-mir-200b	0	0	0
AIMP2	hsa-mir-200c	0	0	0
AIMP2	hsa-mir-205	0	0	0
AIMP2	hsa-mir-206	0	0	0
AIMP2	hsa-mir-20a	0	0	0
AIMP2	hsa-mir-20b	0	0	0
AIMP2	hsa-mir-21	0	0	0
AIMP2	hsa-mir-214	0	0	0
AIMP2	hsa-mir-221	0	0	0
AIMP2	hsa-mir-222	0	0	0
AIMP2	hsa-mir-25	0	0	0
AIMP2	hsa-mir-29a	0	0	0
AIMP2	hsa-mir-29b-1	0	0	0
AIMP2	hsa-mir-29b-2	0	0	0
AIMP2	hsa-mir-29c	0	0	0
AIMP2	hsa-mir-31	0	0	0
AIMP2	hsa-mir-34a	0	0	0
AIMP2	hsa-mir-34b	7.69230769230769	0.512820512820513	4.1025641025641
AIMP2	hsa-mir-34c	7.69230769230769	0.843881856540084	4.26809477442389
AIMP2	hsa-mir-363	0	0	0
AIMP2	hsa-mir-429	0	0	0
AIMP2	hsa-mir-451	0	0	0
AIMP2	hsa-mir-7-1	19.2307692307692	1.24688279301746	10.2388260118933
AIMP2	hsa-mir-7-2	0	0	0
AIMP2	hsa-mir-7-3	0	0	0
AIMP2	hsa-mir-9-1	0	0	0
AIMP2	hsa-mir-9-2	0	0	0
AIMP2	hsa-mir-9-3	0	0	0
AIMP2	hsa-mir-92a-1	0	0	0
AIMP2	hsa-mir-92a-2	0	0	0
AIMP2	hsa-mir-93	0	0	0
AIMP2	hsa-mir-98	0	0	0
APOBEC3B	hsa-let-7a-1	0	0	0
APOBEC3B	hsa-let-7a-2	16.6666666666667	0.858369098712446	8.76251788268956
APOBEC3B	hsa-let-7a-3	0	0	0
APOBEC3B	hsa-let-7b	0	0	0
APOBEC3B	hsa-let-7c	0	0	0
APOBEC3B	hsa-let-7d	29.1666666666667	1.43737166324435	15.3020191649555
APOBEC3B	hsa-let-7e	0	0	0
APOBEC3B	hsa-let-7f-1	0	0	0
APOBEC3B	hsa-let-7f-2	0	0	0
APOBEC3B	hsa-let-7g	0	0	0
APOBEC3B	hsa-let-7i	0	0	0
APOBEC3B	hsa-mir-1-1	0	0	0
APOBEC3B	hsa-mir-1-2	0	0	0
APOBEC3B	hsa-mir-106a	0	0	0
APOBEC3B	hsa-mir-106b	0	0	0
APOBEC3B	hsa-mir-107	0	0	0
APOBEC3B	hsa-mir-10b	0	0	0
APOBEC3B	hsa-mir-122	0	0	0
APOBEC3B	hsa-mir-128-1	0	0	0
APOBEC3B	hsa-mir-128-2	0	0	0
