RBP	miRNA	mean_percent	total_percent	average
LIN28A	hsa-let-7a-1	1.743679163034	1.743679163034	1.743679163034
LIN28A	hsa-let-7a-2	2.7027027027027	2.7027027027027	2.7027027027027
LIN28A	hsa-let-7a-3	0.871839581517001	0.871839581517001	0.871839581517001
LIN28A	hsa-let-7b	3.3129904097646	3.3129904097646	3.3129904097646
LIN28A	hsa-let-7c	2.615518744551	2.615518744551	2.615518744551
LIN28A	hsa-let-7d	4.1848299912816	4.1848299912816	4.1848299912816
LIN28A	hsa-let-7e	1.0462074978204	1.0462074978204	1.0462074978204
LIN28A	hsa-let-7f-1	3.0514385353095	3.0514385353095	3.0514385353095
LIN28A	hsa-let-7f-2	2.1795989537925	2.1795989537925	2.1795989537925
LIN28A	hsa-let-7g	3.7489102005231	3.7489102005231	3.7489102005231
LIN28A	hsa-let-7i	4.0104620749782	4.0104620749782	4.0104620749782
LIN28A	hsa-mir-98	4.9694856146469	4.9694856146469	4.9694856146469
LIN28A	hsa-mir-1-1	0.784655623365301	0.784655623365301	0.784655623365301
LIN28A	hsa-mir-1-2	0.3487358326068	0.3487358326068	0.3487358326068
LIN28A	hsa-mir-7-1	0.697471665213601	0.697471665213601	0.697471665213601
LIN28A	hsa-mir-7-2	0.523103748910201	0.523103748910201	0.523103748910201
LIN28A	hsa-mir-7-3	1.0462074978204	1.0462074978204	1.0462074978204
LIN28A	hsa-mir-9-1	0.784655623365301	0.784655623365301	0.784655623365301
LIN28A	hsa-mir-9-2	0.697471665213601	0.697471665213601	0.697471665213601
LIN28A	hsa-mir-9-3	0	0	0
LIN28A	hsa-mir-10b	0.697471665213601	0.697471665213601	0.697471665213601
LIN28A	hsa-mir-15a	0.959023539668701	0.959023539668701	0.959023539668701
LIN28A	hsa-mir-15b	1.4821272885789	1.4821272885789	1.4821272885789
LIN28A	hsa-mir-16-1	1.8308631211857	1.8308631211857	1.8308631211857
LIN28A	hsa-mir-16-2	0.784655623365301	0.784655623365301	0.784655623365301
LIN28A	hsa-mir-17	0.871839581517001	0.871839581517001	0.871839581517001
LIN28A	hsa-mir-18a	1.3077593722755	1.3077593722755	1.3077593722755
LIN28A	hsa-mir-18b	1.8308631211857	1.8308631211857	1.8308631211857
LIN28A	hsa-mir-19a	2.2667829119442	2.2667829119442	2.2667829119442
LIN28A	hsa-mir-19b-1	2.0924149956408	2.0924149956408	2.0924149956408
LIN28A	hsa-mir-19b-2	0.697471665213601	0.697471665213601	0.697471665213601
LIN28A	hsa-mir-20a	0.523103748910201	0.523103748910201	0.523103748910201
LIN28A	hsa-mir-20b	0.610287707061901	0.610287707061901	0.610287707061901
LIN28A	hsa-mir-21	1.0462074978204	1.0462074978204	1.0462074978204
LIN28A	hsa-mir-25	1.5693112467306	1.5693112467306	1.5693112467306
LIN28A	hsa-mir-29a	1.9180470793374	1.9180470793374	1.9180470793374
LIN28A	hsa-mir-29b-1	2.1795989537925	2.1795989537925	2.1795989537925
LIN28A	hsa-mir-29b-2	2.1795989537925	2.1795989537925	2.1795989537925
LIN28A	hsa-mir-29c	0.610287707061901	0.610287707061901	0.610287707061901
LIN28A	hsa-mir-31	1.1333914559721	1.1333914559721	1.1333914559721
LIN28A	hsa-mir-34a	1.6564952048823	1.6564952048823	1.6564952048823
LIN28A	hsa-mir-34b	1.8308631211857	1.8308631211857	1.8308631211857
LIN28A	hsa-mir-34c	0.523103748910201	0.523103748910201	0.523103748910201
LIN28A	hsa-mir-92a-1	0	0	0
LIN28A	hsa-mir-92a-2	1.5693112467306	1.5693112467306	1.5693112467306
LIN28A	hsa-mir-93	0.697471665213601	0.697471665213601	0.697471665213601
LIN28A	hsa-mir-106a	1.8308631211857	1.8308631211857	1.8308631211857
LIN28A	hsa-mir-106b	1.3077593722755	1.3077593722755	1.3077593722755
LIN28A	hsa-mir-107	2.0052310374891	2.0052310374891	2.0052310374891
LIN28A	hsa-mir-122	0.2615518744551	0.2615518744551	0.2615518744551
LIN28A	hsa-mir-128-1	0.959023539668701	0.959023539668701	0.959023539668701
LIN28A	hsa-mir-128-2	0.4359197907585	0.4359197907585	0.4359197907585
LIN28A	hsa-mir-138-1	0.4359197907585	0.4359197907585	0.4359197907585
LIN28A	hsa-mir-138-2	0.2615518744551	0.2615518744551	0.2615518744551
LIN28A	hsa-mir-140	0.4359197907585	0.4359197907585	0.4359197907585
LIN28A	hsa-mir-141	0.871839581517001	0.871839581517001	0.871839581517001
LIN28A	hsa-mir-143	1.0462074978204	1.0462074978204	1.0462074978204
LIN28A	hsa-mir-145	5.0566695727986	5.0566695727986	5.0566695727986
LIN28A	hsa-mir-155	1.3949433304272	1.3949433304272	1.3949433304272
LIN28A	hsa-mir-199a-1	0.3487358326068	0.3487358326068	0.3487358326068
LIN28A	hsa-mir-199a-2	0.523103748910201	0.523103748910201	0.523103748910201
LIN28A	hsa-mir-200a	0.784655623365301	0.784655623365301	0.784655623365301
LIN28A	hsa-mir-200b	0.697471665213601	0.697471665213601	0.697471665213601
LIN28A	hsa-mir-200c	1.1333914559721	1.1333914559721	1.1333914559721
LIN28A	hsa-mir-205	1.2205754141238	1.2205754141238	1.2205754141238
LIN28A	hsa-mir-206	1.3077593722755	1.3077593722755	1.3077593722755
LIN28A	hsa-mir-214	0.610287707061901	0.610287707061901	0.610287707061901
LIN28A	hsa-mir-221	0.610287707061901	0.610287707061901	0.610287707061901
LIN28A	hsa-mir-222	0.697471665213601	0.697471665213601	0.697471665213601
LIN28A	hsa-mir-363	1.9180470793374	1.9180470793374	1.9180470793374
LIN28A	hsa-mir-429	0.871839581517001	0.871839581517001	0.871839581517001
LIN28A	hsa-mir-451	0.784655623365301	0.784655623365301	0.784655623365301
LIN28B	hsa-let-7a-1	0.711743772241993	1.29310344827586	1.00242361025893
LIN28B	hsa-let-7a-2	7.43243411392878	7.11206896551724	7.27225153972301
LIN28B	hsa-let-7a-3	1.1696488564816	1.29310344827586	1.23137615237873
LIN28B	hsa-let-7b	11.7747140167069	11.2068965517241	11.4908052842155
